Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-03-05T08:30:00-04:00;2022-03-05;13:30;76;Occitanie;;;;;;4980;Consolidé;
2022-03-05T11:30:00-04:00;2022-03-05;16:30;76;Occitanie;;;;;;4332;Consolidé;
2022-03-05T13:00:00-04:00;2022-03-05;18:00;76;Occitanie;1024;Définitif;2458;Définitif;3482;4579;Consolidé;8061
2022-03-05T16:00:00-04:00;2022-03-05;21:00;76;Occitanie;1037;Définitif;2251;Définitif;3288;4980;Consolidé;8268
2022-03-05T16:30:00-04:00;2022-03-05;21:30;76;Occitanie;;;;;;4947;Consolidé;
2022-03-05T17:30:00-04:00;2022-03-05;22:30;76;Occitanie;;;;;;4848;Consolidé;
2022-03-06T05:30:00-04:00;2022-03-06;10:30;76;Occitanie;;;;;;4778;Consolidé;
2022-03-06T06:30:00-04:00;2022-03-06;11:30;76;Occitanie;;;;;;4695;Consolidé;
2022-03-06T08:30:00-04:00;2022-03-06;13:30;76;Occitanie;;;;;;4658;Consolidé;
2022-03-06T10:00:00-04:00;2022-03-06;15:00;76;Occitanie;812;Définitif;2036;Définitif;2848;4235;Consolidé;7083
2022-03-06T11:30:00-04:00;2022-03-06;16:30;76;Occitanie;;;;;;4054;Consolidé;
2022-03-06T14:00:00-04:00;2022-03-06;19:00;76;Occitanie;1234;Définitif;2589;Définitif;3823;5181;Consolidé;9004
2022-03-06T15:30:00-04:00;2022-03-06;20:30;76;Occitanie;;;;;;5352;Consolidé;
2022-03-06T16:30:00-04:00;2022-03-06;21:30;76;Occitanie;;;;;;5145;Consolidé;
2022-03-06T22:30:00-04:00;2022-03-07;03:30;76;Occitanie;;;;;;4877;Consolidé;
2022-03-06T23:00:00-04:00;2022-03-07;04:00;76;Occitanie;1141;Définitif;2537;Définitif;3678;4844;Consolidé;8522
2022-03-07T00:30:00-04:00;2022-03-07;05:30;76;Occitanie;;;;;;5021;Consolidé;
2022-03-07T01:00:00-04:00;2022-03-07;06:00;76;Occitanie;1674;Définitif;3790;Définitif;5464;5257;Consolidé;10721
2022-03-07T05:30:00-04:00;2022-03-07;10:30;76;Occitanie;;;;;;5775;Consolidé;
