Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW)
2022-03-05T08:00:00-04:00;2022-03-05;13:00;93;Provence-Alpes-Côte d'Azur;3631;Définitif;;;3631;5704;Consolidé;9335
2022-03-05T10:00:00-04:00;2022-03-05;15:00;93;Provence-Alpes-Côte d'Azur;3995;Définitif;;;3995;5390;Consolidé;9385
2022-03-05T11:00:00-04:00;2022-03-05;16:00;93;Provence-Alpes-Côte d'Azur;4217;Définitif;;;4217;5154;Consolidé;9371
2022-03-05T13:00:00-04:00;2022-03-05;18:00;93;Provence-Alpes-Côte d'Azur;4747;Définitif;;;4747;5245;Consolidé;9992
2022-03-05T13:30:00-04:00;2022-03-05;18:30;93;Provence-Alpes-Côte d'Azur;;;;;;5517;Consolidé;
2022-03-05T15:30:00-04:00;2022-03-05;20:30;93;Provence-Alpes-Côte d'Azur;;;;;;5782;Consolidé;
2022-03-05T17:00:00-04:00;2022-03-05;22:00;93;Provence-Alpes-Côte d'Azur;4621;Définitif;;;4621;5418;Consolidé;10039
2022-03-05T18:30:00-04:00;2022-03-05;23:30;93;Provence-Alpes-Côte d'Azur;;;;;;6006;Consolidé;
2022-03-05T19:30:00-04:00;2022-03-06;00:30;93;Provence-Alpes-Côte d'Azur;;;;;;5530;Consolidé;
2022-03-06T00:00:00-04:00;2022-03-06;05:00;93;Provence-Alpes-Côte d'Azur;4014;Définitif;;;4014;4930;Consolidé;8944
2022-03-06T01:00:00-04:00;2022-03-06;06:00;93;Provence-Alpes-Côte d'Azur;4235;Définitif;;;4235;4946;Consolidé;9181
2022-03-06T03:30:00-04:00;2022-03-06;08:30;93;Provence-Alpes-Côte d'Azur;;;;;;5251;Consolidé;
2022-03-06T04:30:00-04:00;2022-03-06;09:30;93;Provence-Alpes-Côte d'Azur;;;;;;5490;Consolidé;
2022-03-06T08:30:00-04:00;2022-03-06;13:30;93;Provence-Alpes-Côte d'Azur;;;;;;5686;Consolidé;
2022-03-06T09:00:00-04:00;2022-03-06;14:00;93;Provence-Alpes-Côte d'Azur;3694;Définitif;;;3694;5478;Consolidé;9172
2022-03-06T19:00:00-04:00;2022-03-07;00:00;93;Provence-Alpes-Côte d'Azur;5527;Définitif;;;5527;5784;Consolidé;11311
2022-03-06T20:00:00-04:00;2022-03-07;01:00;93;Provence-Alpes-Côte d'Azur;5657;Définitif;;;5657;5412;Consolidé;11069
2022-03-07T03:00:00-04:00;2022-03-07;08:00;93;Provence-Alpes-Côte d'Azur;7798;Définitif;;;7798;6131;Consolidé;13929
2022-03-07T04:30:00-04:00;2022-03-07;09:30;93;Provence-Alpes-Côte d'Azur;;;;;;6071;Consolidé;
